tipo,processos,threads,tempo
mpi,1,1,24237.120152
mpi,1,1,24395.095348
mpi,1,1,24355.067730
mpi,1,1,24333.413601
mpi,1,1,24350.424290
mpi,1,1,24334.593534
mpi,1,1,24030.056238
mpi,1,1,24349.504471
mpi,1,1,24331.814289
mpi,1,1,24490.720510
mpi,1,1,24536.237240
mpi,1,1,24136.013269
mpi,1,1,24332.290411
mpi,1,1,24542.442560
mpi,1,1,24350.106478
mpi,2,1,12904.862642
mpi,2,1,13148.666859
mpi,2,1,13156.114817
mpi,2,1,13150.027990
mpi,2,1,12912.302017
mpi,2,1,13162.620544
mpi,2,1,13156.461954
mpi,2,1,13164.613724
mpi,2,1,12896.921873
mpi,2,1,13156.639814
mpi,2,1,13182.125807
mpi,2,1,13131.395102
mpi,2,1,13227.090120
mpi,2,1,12864.456892
mpi,2,1,13199.973106
mpi,4,1,6964.712143
mpi,4,1,6681.317806
mpi,4,1,6948.415279
mpi,4,1,6961.040020
mpi,4,1,6966.414690
mpi,4,1,6954.214096
mpi,4,1,6963.294268
mpi,4,1,6956.867456
mpi,4,1,6690.278292
mpi,4,1,6638.746500
mpi,4,1,6638.140917
mpi,4,1,6955.752134
mpi,4,1,6650.966644
mpi,4,1,6698.143005
mpi,4,1,6957.213402
mpi,8,1,3767.694235
mpi,8,1,3460.115910
mpi,8,1,3770.514250
mpi,8,1,3461.423874
mpi,8,1,3763.719320
mpi,8,1,3748.345852
mpi,8,1,3460.805178
mpi,8,1,3756.160975
mpi,8,1,3766.120911
mpi,8,1,3753.709316
mpi,8,1,3476.505280
mpi,8,1,3732.612133
mpi,8,1,3765.588522
mpi,8,1,3494.438410
mpi,8,1,3462.334394
mpi,16,1,1875.534534
mpi,16,1,2162.157297
mpi,16,1,2171.199083
mpi,16,1,2162.605286
mpi,16,1,2171.720266
mpi,16,1,1886.562109
mpi,16,1,1870.162487
mpi,16,1,1864.795923
mpi,16,1,1891.416073
mpi,16,1,1868.503571
mpi,16,1,2008.445740
mpi,16,1,2154.531002
mpi,16,1,1869.601011
mpi,16,1,1894.676924
mpi,16,1,2076.257706
mpi_pth,1,1,24338.441372
mpi_pth,1,1,24332.172632
mpi_pth,1,1,24434.703827
mpi_pth,1,1,24338.955402
mpi_pth,1,1,24330.436945
mpi_pth,1,1,24333.097219
mpi_pth,1,1,24721.927881
